published_papers
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),著者(日本語),著者(英語),担当区分,概要(日本語),概要(英語),出版者・発行元(日本語),出版者・発行元(英語),出版年月,誌名(日本語),誌名(英語),巻,号,開始ページ,終了ページ,記述言語,査読の有無,招待の有無,掲載種別,国際・国内誌,国際共著,DOI,ISSN,eISSN,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,null,39623515,null,"Atomic-resolution STEM image denoising by total variation regularization",null,"[Kazuaki Kawahara,Ryo Ishikawa,Shun Sasano,Naoya Shibata,Yuichi Ikuhara]","[lead,corresponding]",null,"Abstract

 Atomic-resolution electron microscopy imaging of solid-state material is a powerful method for structural analysis. Scanning transmission electron microscopy (STEM) is one of the actively used techniques to directly observe atoms in materials. However, some materials are easily damaged by the electron beam irradiation, and only noisy images are available when we decrease the electron dose to avoid beam damages. Therefore, a denoising process is necessary for precise structural analysis in low-dose STEM. In this study, we propose total variation (TV) denoising algorithm to remove quantum noise in an STEM image. We defined an entropy of STEM image that corresponds to the image contrast to determine a hyperparameter and we found that there is a hyperparameter that maximizes the entropy. We acquired atomic-resolution STEM image of CaF2 viewed along the [001] direction and executed TV denoising. The atomic columns of Ca and F are clearly visualized by the TV denoising, and atomic positions of Ca and F are determined with the error of ±1 pm and ±4 pm, respectively.",null,"Oxford University Press (OUP)",2022-06-17,null,Microscopy,71,5,302,310,null,true,null,scientific_journal,null,null,10.1093/jmicro/dfac032,2050-5698,2050-5701,https://academic.oup.com/jmicro/advance-article-pdf/doi/10.1093/jmicro/dfac032/44512771/dfac032.pdf,https://academic.oup.com/jmicro/article-pdf/71/5/302/46350290/dfac032.pdf,false,disclosed
insert,merge,null,37965130,null,"Lithium Lanthanum Titanate Single Crystals: Dependence of Lithium-Ion Conductivity on Crystal Domain Orientation",null,"[Shunsuke Kobayashi,Daisaku Yokoe,Yasuyuki Fujiwara,Kazuaki Kawahara,Yuichi Ikuhara,Akihide Kuwabara]",null,null,null,null,"American Chemical Society (ACS)",2022-06-13,null,"Nano Letters",null,null,null,null,null,null,null,scientific_journal,null,null,10.1021/acs.nanolett.2c01655,1530-6984,1530-6992,https://pubs.acs.org/doi/pdf/10.1021/acs.nanolett.2c01655,null,false,disclosed
insert,merge,null,37093727,null,"Atomic-Level Changes during Electrochemical Cycling of Oriented LiMn<sub>2</sub>O<sub>4</sub> Cathodic Thin Films",null,"[Yumi H. Ikuhara,Xiang Gao,Kazuaki Kawahara,Craig A. J. Fisher,Akihide Kuwabara,Ryo Ishikawa,Hiroki Moriwake,Yuichi Ikuhara]",null,null,"Spinel LiMn2O4 is an attractive lithium-ion battery cathode material that undergoes a complex series of structural changes during electrochemical cycling that lead to rapid capacity fading, compromising its long-term performance. To gain insights into this behavior, in this report we analyze changes in epitaxial LiMn2O4 thin films during the first few charge-discharge cycles with atomic resolution and correlate them with changes in the electrochemical properties. Impedance spectroscopy and scanning transmission electron microscopy are used to show that defect-rich LiMn2O4 surfaces contribute greatly to the increased resistivity of the battery after only a single charge. Sequences of {111} stacking faults within the films were also observed upon charging, increasing in number with further cycling. The atomic structures of these stacking faults are reported for the first time, showing that Li deintercalation is accompanied by local oxygen loss and relaxation of Mn atoms onto previously unoccupied sites. The stacking faults have a more compressed structure than the spinel matrix and impede Li-ion migration, which explains the observed increase in thin-film resistivity as the number of cycles increases. These results are used to identify key factors contributing to conductivity degradation and capacity fading in LiMn2O4 cathodes, highlighting the need to develop techniques that minimize defect formation in spinel cathodes to improve cycle performance.",null,"American Chemical Society (ACS)",2022-02-09,null,"ACS Applied Materials &amp; Interfaces",14,5,6507,6517,eng,true,null,scientific_journal,null,null,10.1021/acsami.1c18630,1944-8244,1944-8252,https://pubs.acs.org/doi/pdf/10.1021/acsami.1c18630,null,false,disclosed
insert,merge,null,40195414,null,"Anomalous dewetting growth of Si on Ag(111)",null,"[Naoya Kawakami,Ryuichi Arafune,Emi Minamitani,Kazuaki Kawahara,Noriaki Takagi,Chun-Liang Lin]",null,null,"We demonstrate the novel growth of silicene grown on Ag(111) using STM and reveal the mechanism with KMC simulation.",null,"Royal Society of Chemistry (RSC)",2022,null,Nanoscale,null,null,null,null,null,null,null,scientific_journal,null,null,10.1039/d2nr03409c,2040-3364,2040-3372,http://pubs.rsc.org/en/content/articlepdf/2022/NR/D2NR03409C,null,false,disclosed
insert,merge,null,32431490,null,"Arrangement of polyhedral units for [0001]-symmetrical tilt grain boundaries in zinc oxide",null,"[Kazutoshi Inoue,Ji-Young Roh,Kazuaki Kawahara,Mitsuhiro Saito,Motoko Kotani,Yuichi Ikuhara]",null,null,null,null,"Elsevier BV",2021-06,null,"Acta Materialia",212,null,116864,116864,eng,true,false,scientific_journal,null,null,10.1016/j.actamat.2021.116864,1359-6454,null,null,null,false,disclosed
insert,merge,null,32595523,null,"Atomic-Resolution Topographic Imaging of Crystal Surfaces",null,"[Ryo Ishikawa,Riku Tanaka,Kazuaki Kawahara,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,"American Chemical Society (ACS)",2021-05-25,null,"ACS Nano",15,5,9186,9193,eng,true,null,scientific_journal,null,null,10.1021/acsnano.1c02907,1936-0851,1936-086X,https://pubs.acs.org/doi/pdf/10.1021/acsnano.1c02907,null,false,disclosed
insert,merge,null,30815628,null,"Room temperature fluoride ion conductivity in defective β-KSb1-δF4-3δ polycrystals",null,"[Kazuaki Kawahara,Ryo Ishikawa,Kei Nakayama,Naoya Shibata,Yuichi Ikuhara]","[lead,corresponding]",null,null,null,"Elsevier BV",2021-01,null,"Journal of Power Sources",483,null,229173,229173,eng,true,null,scientific_journal,null,null,10.1016/j.jpowsour.2020.229173,0378-7753,null,null,null,false,disclosed
insert,merge,null,30789654,null,"3D arrangement of atomic polyhedra in tilt grain boundaries",null,"[Kazutoshi Inoue,Kazuaki Kawahara,Mitsuhiro Saito,Motoko Kotani,Yuichi Ikuhara]",null,null,null,null,"Elsevier BV",2020-10,null,"Acta Materialia",202,null,266,276,eng,true,null,scientific_journal,null,null,10.1016/j.actamat.2020.10.017,1359-6454,null,null,null,false,disclosed
insert,merge,null,30437890,null,"Grain boundary Li-ion conductivity in (Li0.33La0.56)TiO3 polycrystal",null,"[Shun Sasano,Ryo Ishikawa,Kazuaki Kawahara,Teiichi Kimura,Yumi H. Ikuhara,Naoya Shibata,Yuichi Ikuhara]",null,null,"Lithium lanthanum titanate (LLTO) is one of the promising solid-state Li-ion electrolytes for an all-solid-state Li-ion battery system. Although LLTO shows a significantly high Li-ion conductivity of 2.2 x 10(-3) S cm(-1) in the bulk, the Li-ion conductivity at the grain boundary is largely reduced to 4.2 x 10(-5) S cm(-1), which prevents the practical application of solid-state Li-ion electrolytes. To solve this problem, the origin of such a low Li-ion conductivity at the grain boundary should be clarified. In this study, we investigated the relationship between the Li-ion conductivity and the geometric structure of the grain boundary in the (Li0.33La0.56)TiO3 polycrystal by using electrochemical strain microscopy in atomic force microscopy combined with electron backscatter diffraction in scanning electron microscopy. The experimental data suggest that the Li-ion conductivity is significantly reduced at the random grain boundaries but not at the coincidence-site-lattice (CSL) grain boundaries. Such a small reduction of the Li-ion conductivity at the CSL grain boundaries may originate from the smaller increment of the activation energy, owing to less composition deviations and less structural distortions at the CSL grain boundaries. These results suggest that it is effective to control the geometries of the grain boundaries for further improvement of the Li-ion conductivity in LLTO.",null,"AIP Publishing",2020-01-27,null,"Applied Physics Letters",116,4,043901,043901,eng,true,false,scientific_journal,null,null,10.1063/1.5141396,0003-6951,1077-3118,http://aip.scitation.org/doi/pdf/10.1063/1.5141396,null,false,disclosed
insert,merge,null,30437868,null,"Mechanically Tunable Spontaneous Vertical Charge Redistribution in Few-Layer WTe2",null,"[Zeyuan Ni,Emi Minamitani,Kazuaki Kawahara,Ryuichi Arafune,Chun-Liang Lin,Noriaki Takagi,Satoshi Watanabe]",null,null,"Broken symmetry is often the essence of exotic properties in condensed matters. WTe exceptionally takes a non-centrosymmetric crystal structure in the family of transition-metal dichalcogenides and exhibits novel properties, such as the nonsaturating magnetoresistance and ferroelectric-like behavior. Herein, using the first-principles calculation, we show that unique layer stacking in WTe generates surface dipoles in few-layer WTe . The surface dipoles are tunable and switchable using the interlayer shear displacement. This could explain the ferroelectric-like behavior recently observed in atomically thin WTe films. In addition, we reveal that exfoliation of the surface layer flips the out-of-plane spin textures. The presented results will aid in the deeper understanding, manipulation, and further exploration of the physical properties of WTe and related atom-layered materials for applications in electronics and spintronic devices. 2 2 2 2 2",null,"American Chemical Society (ACS)",2020-01-23,null,"The Journal of Physical Chemistry C",124,3,2008,2012,eng,true,false,scientific_journal,null,null,10.1021/acs.jpcc.9b10423,1932-7447,1932-7455,https://pubs.acs.org/doi/pdf/10.1021/acs.jpcc.9b10423,null,false,disclosed
insert,merge,null,30437863,null,"Fast Li-ion conduction at grain boundaries in (La,Li)NbO3 polycrystals",null,"[Kazuaki Kawahara,Ryo Ishikawa,Kei Nakayama,Takuma Higashi,Teiichi Kimura,Yumi H. Ikuhara,Naoya Shibata,Yuichi Ikuhara]","[lead,corresponding]",null,null,null,"Elsevier BV",2019-11,null,"Journal of Power Sources",441,null,227187,227187,eng,true,false,scientific_journal,null,null,10.1016/j.jpowsour.2019.227187,0378-7753,null,null,null,false,disclosed
insert,merge,null,30437859,null,"Unique fitting of electrochemical impedance spectra by random walk Metropolis Hastings algorithm",null,"[Kazuaki Kawahara,Ryo Ishikawa,Takuma Higashi,Teiichi Kimura,Yumi H. Ikuhara,Naoya Shibata,Yuichi Ikuhara]",[lead],null,null,null,"Elsevier BV",2018-11,null,"Journal of Power Sources",403,null,184,191,eng,true,false,scientific_journal,null,null,10.1016/j.jpowsour.2018.09.091,0378-7753,null,null,null,false,disclosed
insert,merge,null,30437856,null,"Visualizing Type-II Weyl Points in Tungsten Ditelluride by Quasiparticle Interference",null,"[Chun-Liang Lin,Ryuichi Arafune,Ro-Ya Liu,Masato Yoshimura,Baojie Feng,Kazuaki Kawahara,Zeyuan Ni,Emi Minamitani,Satoshi Watanabe,Youguo Shi,Maki Kawai,Tai-Chang Chiang,Iwao Matsuda,Noriaki Takagi]",null,null,"Weyl semimetals (WSMs) are classified into two types, type I and II, according to the topology of the Weyl point, where the electron and hole pockets touch each other. Tungsten ditelluride (WTe2) has garnered a great deal of attention as a strong candidate to be a type-II WSM. However, the Weyl points for WTe2 are located above the Fermi level, which has prevented us from identifying the locations and the connection to the Fermi arc surface states by using angle-resolved photoemission spectroscopy. Here, we present experimental proof that WTe2 is a type-II WSM. We measured energy-dependent quasiparticle interference patterns with a cryogenic scanning tunneling Microscope, revealing the position of the Weyl point and its connection with the Fermi arc surface states, in agreement with prior theoretical predictions. Our results provide an answer to this crucial question and stimulate further exploration of the characteristics of WSMs.",null,"American Chemical Society (ACS)",2017-11-28,null,"ACS Nano",11,11,11459,11465,eng,true,false,scientific_journal,null,null,10.1021/acsnano.7b06179,1936-0851,1936-086X,https://pubs.acs.org/doi/pdf/10.1021/acsnano.7b06179,null,false,disclosed
insert,merge,null,30437826,null,"Structural evolution of Bi thin films on Au(111) revealed by scanning tunneling microscopy",null,"[Naoya Kawakami,Chun-Liang Lin,Kazuaki Kawahara,Maki Kawai,Ryuichi Arafune,Noriaki Takagi]",null,null,"We present the structural evolution of Bi on Au(111) from monolayer to multilayer regimes explored mainly by scanning tunneling microscopy. At the monolayer regime, Bi clusters distribute homogeneously to make an array with 5 x 5 periodicity. Further increase of the coverage converts these clusters to the two-dimensional periodic (root 37 x root 37) R25.3 degrees and (p x root 3) structures. We propose a model of the (root 37 x root 37) R25.3 degrees structure based on the STM measurements and density-functional theory calculations. In the multilayer regime, superstructures at first appear with long-range periodicities arising from the moire structures due mainly to the stacking of Bi layers. Then, the thicker films grow whose lattice constants are close to those of the (110) surface of rhombohedral Bi crystal. The Bi(110) films of more than 60 layers grow stably. Thus, this system provides a good stage for further investigation of the peculiar electronic properties of Bi(110).",null,"American Physical Society (APS)",2017-11-01,null,"Physical Review B",96,20,null,null,eng,true,false,scientific_journal,null,null,10.1103/physrevb.96.205402,2469-9950,2469-9969,https://link.aps.org/article/10.1103/PhysRevB.96.205402,http://harvest.aps.org/v2/journals/articles/10.1103/PhysRevB.96.205402/fulltext,false,disclosed
insert,merge,null,30437853,null,"Surface structure of novel semimetal WTe2",null,"[Kazuaki Kawahara,Zeyuan Ni,Ryuichi Arafune,Tetsuroh Shirasawa,Chun-Liang Lin,Emi Minamitani,Satoshi Watanabe,Maki Kawai,Noriaki Takagi]",[lead],null,"We investigate the atomic structure of the tungsten ditelluride (WTe2) surface by using low-energy electron diffraction (LEED), scanning tunneling microscopy, and density functional theory (DFT) calculations. From the LEED and DFT analyses, we find small but non-negligible surface relaxation that gradually decays in an oscillatory manner inside the first WTe2 layer. In addition, the DFT calculations reveal that the Fermi surface topology is sensitive to this relaxation. These results are helpful for understanding the exotic properties of WTe2. (C) 2017 The Japan Society of Applied Physics",null,"IOP Publishing",2017-04-01,null,"Applied Physics Express",10,4,045702,045702,eng,true,false,scientific_journal,null,null,10.7567/apex.10.045702,1882-0778,1882-0786,http://stacks.iop.org/1882-0786/10/i=4/a=045702/pdf,http://stacks.iop.org/1882-0786/10/i=4/a=045702?key=crossref.221d8a5bfdafa08b4f8ae4c9cbdf9f4a,false,disclosed
insert,merge,null,30437834,null,"Atomic structure of “multilayer silicene” grown on Ag(111): Dynamical low energy electron diffraction analysis",null,"[Kazuaki Kawahara,Tetsuroh Shirasawa,Chun-Liang Lin,Ryo Nagao,Noriyuki Tsukahara,Toshio Takahashi,Ryuichi Arafune,Maki Kawai,Noriaki Takagi]",[lead],null,"We have investigated"" the atomic structure of the ""multilayer silicene"" grown on the Ag(111) single crystal surface by using low energy electron diffraction (LEED) and scanning tunneling microscopy (STM). We measured the intensity of the LEED spot as a function of the incident electron energy (I-V curve) and analyzed the I-V curve using a dynamical LEED theory. We have found that the Si(111)(root 3 x root 3)-Ag model well reproduces the I-V curve whereas the models consisting of the honeycomb structure of Si do not. The bias dependence of the STM image of multilayer silicene agrees with that of the Si(111)(root 3 x root 3)-Ag reconstructed surface. Consequently, we have concluded that the multilayer silicene ""grown on Ag(111) is identical to the Si(111)(root 3 x root 3)-Ag reconstructed structure. (C) 2016 Elsevier B.V. All rights reserved.",null,"Elsevier BV",2016-09,null,"Surface Science",651,null,70,75,eng,true,false,scientific_journal,null,null,10.1016/j.susc.2016.03.029,0039-6028,1879-2758,null,null,false,disclosed
insert,merge,null,30437838,null,"Spectroscopic Identification of Ag-Terminated “Multilayer Silicene” Grown on Ag(111)",null,"[Chun-Liang Lin,Takeshi Hagino,Yujiro Ito,Kazuaki Kawahara,Ryo Nagao,Masaru Aoki,Shigeru Masuda,Ryuichi Arafune,Maki Kawai,Noriaki Takagi]",null,null,"The electronic structure of the outermost layer of ""multilayer silicene"" was investigated by metastable atom electron spectroscopy (MAES). It is usually difficult to elucidate the electronic structure of an ultrathin film grown on a solid substrate excluding the contribution from the substrate, especially such as ""multilayer silicene"" grown on a Ag(111) substrate. MAES used in this study thus provides a proper solution because the excitation source, He*(2(3)S) atom, cannot penetrate through the first layer. Comparing the MAES spectra of ""multilayer silicene"" and of the Si(111)root 3 x root 3-Ag surface where the Ag atoms are arranged to form a superlattice on the (111) surface of the Si diamond crystal, we find that these spectra are essentially identical to each other. This result indicates that the so-called ""multilayer silicene"" is actually not multilayered, i.e., a stack of honeycomb lattice layers.",null,"American Chemical Society (ACS)",2016-03-31,null,"The Journal of Physical Chemistry C",120,12,6689,6693,eng,true,false,scientific_journal,null,null,10.1021/acs.jpcc.6b00717,1932-7447,1932-7455,https://pubs.acs.org/doi/pdf/10.1021/acs.jpcc.6b00717,null,false,disclosed
insert,merge,null,30437820,null,"Silicene on Ag(111): Geometric and electronic structures of a new honeycomb material of Si",null,"[Noriaki Takagi,Chun-Liang Lin,Kazuaki Kawahara,Emi Minamitani,Noriyuki Tsukahara,Maki Kawai,Ryuichi Arafune]",null,null,"Silicene, a two-dimensional honeycomb sheet consisting of Si atoms, has attracted much attention as a new low-dimensional material because it gains various fascinating characteristics originating from the combination of Dirac fermion features with spin-orbit coupling. The novel properties such as the quantum spin Hall effect and the compatibility with the current Si device technologies have fueled competition to realize the silicene. This review article focuses on the geometric and electronic structures of silicene grown on Ag(111) investigated by scanning tunneling microcopy (STM), low energy electron diffraction (LEED) and density functional theory (DFT) calculations. The silicene on Ag(111) takes locally-buckled structure in which the Si atoms are displaced perpendicularly to the basal plane. As a result, several superstructures such as 4 x 4, root 13 x root 13R13.9 degrees,4/root 3 x 4/root 3, and etc. emerge. The atomic arrangement of the 4 x 4 silicene has been determined by STM, DFT calculations and LEED dynamical analysis, while the other superstructures remain to be fully-resolved. In the 4 x 4 silicene, Si atoms are arranged to form a buckled honeycomb structure where six Si atoms of 18 Si atoms in the unit cell are displaced vertically. The displacements lead to the vertical shift of the substrate Ag atoms, indicating the non-negligible coupling at the interface between the silicene layer and the substrate. The interface coupling significantly modifies the electronic structure of the 4 x 4 silicene. No Landau level sequences were observed by scanning tunneling spectroscopy (STS) with magnetic fields applied perpendicularly to the sample surface. The DFT calculations showed that the pi and pi* bands derived from the Si 3p(z) are hybridized with the Ag electronic states, leading to the drastic modification in the band structure and then the absence of Dirac fermion features together with the two-dimensionality in the electronic states. These findings demonstrate that the strong coupling at the interface causes the symmetry breaking for the 4 x 4 silicene and as a result the disappearance of Dirac fermion features. The geometric and electronic structures of other superstructures are also discussed. (C) 2014 Elsevier Ltd. All rights reserved.",null,"Elsevier BV",2015-02,null,"Progress in Surface Science",90,1,1,20,eng,true,false,scientific_journal,null,null,10.1016/j.progsurf.2014.10.001,0079-6816,null,null,null,false,disclosed
insert,merge,null,30437810,null,"Pragmatic Application of Abstract Algebra to Two-Dimensional Lattice Matching",null,"[Kazuaki Kawahara,Ryuichi Arafune,Maki Kawai,Noriaki Takagi]",[lead],null,"We investigated the lattice matching condition of two-dimensional (2D) lattices based on the group isomorphism of 2D Euclidean space to complex plane. This isomorphism enables us to avoid the inconvenience derived from the algebraic structure of 2D vectors and provides the systematic analysis. We found that the lattice matching is closely connected with ideal class group which is an invariant in the algebraic number field. We also provide an algorithm to construct a structure model for a superstructure formed by overlapping two 2D lattices, which is helpful for making trial models in the structure analysis.",null,"Surface Science Society Japan",2015,null,"e-Journal of Surface Science and Nanotechnology",13,0,361,365,eng,true,false,scientific_journal,null,null,10.1380/ejssnt.2015.361,1348-0391,1348-0391,null,null,false,disclosed
