presentations
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),講演者(日本語),講演者(英語),会議名(日本語),会議名(英語),発表年月日,開催年月日(From),開催年月日(To),招待の有無,記述言語,会議種別,主催者(日本語),主催者(英語),開催地(日本語),開催地(英語),国・地域,概要(日本語),概要(英語),国際・国内会議,国際共著,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,null,42409240,Cs添加KSbF4のフッ化物イオン伝導,null,"[川原一晃,石川亮,柴田直哉,幾原雄一]",null,第63回電池討論会,null,2022-11,null,null,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409035,null,"Fluoride ion conductivity of Cs-doped KSbF4",null,"[Kazuaki Kawahara,Ryo Ishikawa,Naoya Shibata,Yuichi Ikuhara]",null,"23rd International Conference on Solid State Ionics",2022-07,null,null,false,eng,poster_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409246,"Total variation正則化を用いた原子分解能STEM像のノイズ除去",null,"[川原一晃,石川亮,佐々野駿,柴田直哉,幾原雄一]",null,日本顕微鏡学会第78回学術講演会,null,2022-05,null,null,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409255,Cs添加KSbF4(K1-xCsxSbF4)のフッ化物イオン伝導,null,"[川原一晃,石川亮,柴田直哉,幾原雄一]",null,日本セラミックス協会2022年年会,null,2022-03,null,null,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409262,Rb添加KSbF4(K1-xRbxSbF4)のフッ化物イオン伝導,null,"[川原一晃,石川亮,柴田直哉,幾原雄一]",null,第62回電池討論会,null,2021-12,null,null,false,jpn,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409050,null,"Fluoride ion conductivity of potassium tetrafluoroantimonate",null,"[Kazuaki Kawahara,Ryo Ishikawa,Kei Nakayama,Naoya Shibata,Yuichi Ikuhara]",null,"The 14th Pacific Rim Conference of Ceramic Societies",2021-12,null,null,false,eng,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409273,Rb添加KSbF4のフッ化物イオン伝導,null,"[川原一晃,石川亮,柴田直哉,幾原雄一]",null,"日本セラミックス協会 第34回秋季シンポジウム",null,2021-09,null,null,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409280,KSbF4のフッ化物イオン伝導,null,"[川原一晃,石川亮,仲山啓,柴田直哉,幾原雄一]",null,日本セラミックス協会2021年会,null,2021-03,null,null,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409288,フルオロアンチモン酸カリウム(KSbxF1+3x)のフッ化物イオン伝導,null,"[川原一晃,石川亮,仲山啓,柴田直哉,幾原雄一]",null,第61回電池討論会,null,2020-11,null,null,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409298,界面接合の実験と数理,null,"[川原一晃,井上和俊,斎藤光浩,荒船竜一,林俊良,高木紀明,川合眞紀,幾原雄一]",null,"IMI workshop II: 材料科学における幾何と代数I",null,2020-09,null,null,true,jpn,invited_oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409305,フルオロアンチモン(III)酸カリウムのフッ化物イオン伝導,null,"[川原一晃,石川亮,柴田直哉,幾原雄一]",null,日本セラミックス協会2020年会,null,2020-03,null,null,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409066,null,"Atomic structure and Li-ion conductivity of (La,Li)NbO3 electrolyte",null,"[Kazuaki Kawahara,Ryo Ishikawa,Kei Nakayama,Takuma Higashi,Yumi Ikuhara,Teiichi Kimura,Naoya Shibata,Yuichi Ikuhara]",null,"The 13th Pacific Rim Conference of Ceramic Societies",2019-10,null,null,false,eng,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409310,情報理論を用いた画像解析,null,[川原一晃],null,第19回結晶界面工学研究会,null,2019-09,null,null,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409093,null,"Li-ion conductivity of lithium lanthanum niobate polycrystals",null,"[Kazuaki Kawahara,Ryo Ishikawa,Kei Nakayama,Takuma Higashi,Yumi Ikuhara,Teiichi Kimura,Naoya Shibata,Yuichi Ikuhara]",null,"22nd International Conference on Solid State Ionics",2019-06,null,null,false,eng,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409317,"(La,Li)NbO3固体電解質のイオン伝導と局所構造",null,"[川原一晃,石川亮,仲山啓,東拓磨,木村禎一,幾原裕美,柴田直哉,幾原雄一]",null,第59回電池討論会,null,2018-11,null,null,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409328,格子整合と数論,null,[川原一晃],null,第18回結晶界面工学研究会,null,2018-09,null,null,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409323,"(Li,La)NbO3多結晶体の局所構造とイオン伝導",null,"[川原一晃,石川亮,仲山啓,東拓磨,木村禎一,幾原裕美,柴田直哉,幾原雄一]",null,"日本セラミックス協会 第31回秋季シンポジウム",null,2018-09,null,null,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409107,null,"Ionic conductivity of lithium lanthanum niobate polycrystals: Electrochemical impedance spectroscopy analysis",null,"[Kazuaki Kawahara,Takuma Higashi,Kei Nakayama,Ryo Ishikawa,Teiichi Kimura,Yumi Ikuhara,Naoya Shibata,Yuichi Ikuhara]",null,"International meeting on lithium batteries 2018",2018-06,null,null,false,eng,poster_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409336,低速電子回折を用いたWTe2表面の構造解析,null,"[川原一晃,Zeyuan Ni,荒船竜一,白澤徹郎,林俊良,南谷英美,渡邉聡,川合眞紀,高木紀明]",null,日本表面科学会北海道東北関東支部合同セミナー,null,2017-11,null,null,true,jpn,invited_oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409344,"Application of Markov chain Monte Carlp method to curve fitting",null,[川原一晃],null,第17回結晶界面工学研究会,null,2017-09,null,null,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409362,二テルル化タングステン表面の構造解析,null,"[川原一晃,荒船竜一,白澤徹郎,林俊良,Zeyuan Ni,南谷英美,渡邉聡,川合眞紀,高木紀明]",null,第36回表面科学学術講演会,null,2016-12,null,null,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409353,"Structure determination of multilayer silicene on Ag(111) by dynamical low- energy electron diffraction and scanning tunneling microscopy",null,"[川原一晃,白澤徹郎,林俊良,長尾遼,荒船竜一,高橋敏男,川合眞紀,高木紀明]",null,第7回真空・表面若手研究会,null,2016-12,null,null,false,jpn,poster_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409387,"Structure Determination of Tungsten Telluride Surface",null,"[川原一晃,荒船竜一,白澤徹郎,林俊良,Zeyuan Ni,南谷英美,渡邉聡,川合眞紀,高木紀明]",null,表面界面スペクトロスコピー2016,null,2016-11,null,null,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409393,代数的整数論を応用した2次元格子整合理論,null,"[川原一晃,荒船竜一,川合眞紀,高木紀明]",null,日本物理学会2016年秋季大会,null,2016-09,null,null,false,jpn,poster_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409401,Ag(111)単結晶上に作製した多層シリセンの構造,null,"[川原一晃,白澤徹郎,林俊良,長尾遼,塚原規志,高橋敏男,荒船竜一,川合眞紀,高木紀明]",null,日本物理学会2016年年次大会,null,2016-03,null,null,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409120,null,"Structure of silicene grown on Ag(111)",null,"[Kazuaki Kawahara]",null,"8th HOPE MEETING with Nobel Laureates",2016-03,null,null,false,eng,poster_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409420,Ag(111)上に成長させた多層シリセンの構造,null,"[川原一晃,白澤徹郎,林俊良,荒船竜一,長尾遼,塚原規志,高橋敏男,川合眞紀,高木紀明]",null,第35回表面科学学術講演会,null,2015-12,null,null,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409407,代数的整数論に基づいた2次元格子整合理論,null,"[川原一晃,荒船竜一,川合眞紀,高木紀明]",null,第6回真空・表面科学若手研究会,null,2015-12,null,null,false,jpn,poster_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409422,Ag(111)上に作製した多層シリセンの構造,null,"[川原一晃,白澤徹郎,林俊良,長尾遼,塚原規志,高橋敏男,荒船竜一,川合眞紀,高木紀明]",null,表面界面スペクトロスコピー2015,null,2015-11,null,null,false,jpn,poster_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409134,null,"Application of algebraic number theory to 2-dimensional lattice matching",null,"[Kazuaki Kawahara,Ryuichi Arafune,Maki Kawai,Noriaki Takagi]",null,"10th International Symposium on Atomic Level Characterizations for New Materials and Devices ’15",2015-10,null,null,false,eng,poster_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409423,Ag(111)上シリセンの成長様式,null,"[川原一晃,望月出海,白澤徹郎,林俊良,長尾遼,荒船竜一,川上直也,和田健,塚原規志,高橋敏男,兵頭俊夫,川合眞紀,高木紀明]",null,日本物理学会2015年秋季大会,null,2015-09,null,null,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409432,Ag(111)上に成長させたシリセンの構造,null,"[川原一晃,荒船竜一,林俊良,白澤徹郎,塚原規志,高橋敏男,川合眞紀,高木紀明]",null,表面界面スペクトロスコピー2014,null,2014-12,null,null,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409146,null,"Determination of Silicene on Ag(111) by Low-Energy Electron Diffraction",null,"[Kazuaki Kawahara,Tetsuroh Shirasawa,Ryuichi Arafune,Chung-Liang Lin,Toshio Takahashi,Maki Kawai,Noriaki Takagi]",null,"The 7th International Symposium on Surface Science",2014-11,null,null,false,eng,poster_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409441,2次元格子整合の数学的考察,null,"[川原一晃,荒船竜一,川合眞紀,高木紀明]",null,日本物理学会2014年秋季大会,null,2014-09,null,null,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409153,null,"Structure determination of silicene on Ag(111) by low-energy electron diffraction",null,"[Kazuaki Kawahara,Tetsuroh Shirasawa,Ryuichi Arafune,Chung-Liang Lin,Toshio Takahashi,Maki Kawai,Noriaki Takagi]",null,"11th International Conference on the Structure of Surfaces",2014-07,null,null,false,eng,poster_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409168,null,"Structure Determination of Silicene on Ag(111) by Low Energy Electron Diffraction",null,"[Kazuaki Kawahara,Tetsuroh Shirasawa,Ryuichi Arafune,Chung-Liang Lin,Toshio Takahashi,Maki Kawai,Noriaki Takagi]",null,"Symposium on Surface and Nano Science 2014",2014-01,null,null,false,eng,poster_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409445,低速電子回折を用いたAg(111)上シリセンの構造解析,null,"[川原一晃,白澤徹郎,荒船竜一,林俊良,高橋敏男,川合眞紀,高木紀明]",null,表面界面スペクトロスコピー2013,null,2013-12,null,null,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409175,null,"Structure Determination of Silicene on Ag(111) by Dynamical Low Energy Electron Diffraction",null,"[Kazuaki Kawahara,Tetsuroh Shirasawa,Ryuichi Arafune,Chung-Liang Lin,Toshio Takahashi,Maki Kawai,Noriaki Takagi]",null,"12th International Conference on Atomically Controlled Surfaces, Interfaces and Nanostructures",2013-11,null,null,false,eng,poster_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409450,LEEDによるAg(111)上シリセンの構造解析,null,"[川原一晃,白澤徹郎,荒船竜一,林俊良,高橋敏男,川合眞紀,高木紀明]",null,日本物理学会2013年秋季大会,null,2013-09,null,null,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409453,Ag(111)基板上に作製したシリセン多層膜の構造,null,"[川原一晃,林俊良,荒船竜一,中村耕太郎,長尾遼,塚原規志,高木紀明,川合眞紀]",null,日本物理学会2013年年次大会,null,2013-03,null,null,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409456,Ag(111)基板上に作製したシリセンの構造,null,"[川原一晃,林俊良,荒船竜一,塚原規志,高木紀明,川合眞紀]",null,日本物理学会2012年秋季大会,null,2012-09,null,null,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409205,null,"Structure property of silicene on Ag(111)",null,"[Kazuaki Kawahara,Chung-Liang Lin,Ryuichi Arafune,Noriyuki Tsukahara,Noriaki Takagi,Maki Kawai]",null,"14th International Conferenece on Vibrations At Surfaces",2012-09,null,null,false,eng,poster_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
